Stock Symbol,Float Shares,Current Price,3M Avg Volume
CCIX,19187686,10.6599,144813.26984126985
CCIXU,19187686,11.05,1931.6129032258063
CDIO,1605838,4.72,54084.1746031746
CCTSU,1732358,11.65,0.0
CDT,659587,2.655,326516.6031746032
CDRO,13851441,7.3,31224.68253968254
CELU,11684589,2.05,80852.80952380953
CEAD,621257,8.0539,10788.693548387097
CELZ,2167260,2.38,82466.06349206349
CFSB,2436290,13.61,10728.968253968254
CHCI,3512692,9.78,35001.46031746032
CHEB,7344521,9.6975,84403.63492063493
CING,4235481,4.321,140781.0634920635
CISS,365180,3.62,31750.174603174604
CITE,2249437,11.85,364.38709677419354
CITEU,2249437,11.7,0.0
CKX,1346175,11.18,5745.984126984127
CLGN,7651729,2.05,75602.68253968254
CLNN,6140157,4.3899,88297.28571428571
CLOE,4964643,12.47,0.0
CLOEU,4964643,10.81,0.0
CLPR,12871058,3.89,144365.19047619047
CLRC,1490084,12.0,3902.1774193548385
CLRCU,1490084,12.0,17.725806451612904
CLST,3116225,11.84,5186.841269841269
CMBT,15465487,9.5187,116074.98412698413
CMCL,14618114,18.7065,129192.19047619047
CMCT,730927,10.18,61955.8253968254
CMT,7273263,16.0,35614.968253968254
CNDA,8553,11.42,3.225806451612903
CNVS,12158686,3.59,67526.47619047618
CODA,4015712,6.545,29938.714285714286
COEP,2891713,9.15,57081.730158730155
COHN,989394,8.07,6583.0952380952385
COYA,12571345,5.92,59085.730158730155
CPBI,3138182,14.85,5324.412698412699
CNEY,474186,2.86,497332.3333333333
CPHC,2500529,17.4,1233.8709677419354
CPIX,7942269,5.615,43309.42857142857
CPSH,11267642,2.8182,83935.63492063493
CPSS,8753708,9.85,16540.126984126986
CRBP,7524021,9.09,167921.15873015873
CREV,1838404,2.83,154362.87301587302
CREX,7598561,3.38,94690.88888888889
CRIS,8381832,2.39,83296.33333333333
CRVO,4930090,7.55,4717153.365079365
CRWS,9331085,3.135,21297.777777777777
CSBR,5118582,6.8177,37195.666666666664
CSCI,2843297,3.6315,22327.777777777777
CSPI,6838187,13.81,20810.79365079365
CTNM,13167066,4.3715,89815.50793650794
CUB,15289787,10.53,74525.55555555556
CUBWU,15289787,10.62,1081.0645161290322
CULP,9039433,4.1999,20572.25396825397
CURV,14205506,4.88,274461.34920634923
CVKD,1389731,15.233,24778.555555555555
CVM,2997739,2.2622,146837.0
CVR,728386,13.095,4748.68253968254
CVRX,17884239,6.69,417928.92063492065
CVU,10858440,3.0058,40951.09523809524
CVV,5682815,3.365,26786.06349206349
CWD,730022,3.6,26558.968253968254
CWBC,14944475,17.92,49554.857142857145
CXDO,15406219,5.69,187860.68253968254
CYBN,16989242,8.9,274444.6349206349
CYCN,2309566,3.13,17033.84126984127
CYD,7805687,18.11,255497.12698412698
CYN,1590555,4.8088,74443.53968253969
CZNC,14768205,18.477,29396.365079365078
DAIO,8459436,2.79,25794.460317460318
CZWI,8446296,14.38,20135.698412698413
DARE,8711877,3.23,19240.4126984127
DALN,4289539,4.2001,32744.174603174604
DBGI,4146494,12.7,28202.88888888889
DATS,3934334,2.7,2668432.222222222
DDC,1994551,9.78,85573.11111111111
DDI,341374,10.4095,25267.31746031746
DECA,763035,11.43,308.4193548387097
DECAU,763035,11.84,3.225806451612903
DERM,11029848,7.68,95290.52380952382
DGICA,17383796,19.42,117396.60317460318
DGLY,1668342,2.3092,552057.6031746032
DGICB,17383796,17.98,833.8709677419355
DIST,306896,13.5999,2127.6190476190477
