Stock Symbol,Float Shares,Current Price,3M Avg Volume
RBB,14348708,16.785,33986.46031746032
RBOT,3104800,7.65,18331.14285714286
RCON,7258117,2.1,13901.492063492064
RDCM,10254384,13.0,41962.84126984127
RDIB,15328703,11.5,7812.523809523809
REBN,3701602,2.455,89898.44444444444
RECT,2400040,4.65,11668.174603174602
REFI,17982949,14.375,128036.42857142857
RENE,5306612,11.75,50736.0
RELL,11946664,9.28,63503.76190476191
RENT,2296487,8.88,99788.87301587302
RETO,6195142,3.223,157279.90476190476
RFAIU,11153537,10.49,24.193548387096776
RFAI,11153537,10.51,12006.483870967742
RFIL,8450543,4.06,31826.079365079364
RILY,16095741,3.115,856501.0793650794
RILYL,16095741,2.3575,8558.126984126984
RILYP,16095741,2.16,7108.412698412699
RKDA,1355830,5.0084,11444.15873015873
RMAX,15145535,7.805,154681.3650793651
RMBI,7325590,13.52,34363.46031746032
RMR,15358125,15.255,168002.03174603175
RNAC,9342507,10.39,97957.8253968254
RNAZ,36698,7.24,338781.0
RNGR,19083323,11.8229,145178.53968253967
ROMA,5893508,3.8345,110569.69841269842
RPID,19102732,3.7,171849.42857142858
RRGB,15110114,6.7482,922502.1904761905
RSLS,736764,4.26,1638079.9841269841
RSVR,14992836,7.27,56194.22222222222
SAMG,8963110,14.9307,66710.52380952382
RVSB,14788641,5.475,154132.3650793651
SBEV,1294064,3.75,1851249.349206349
SANW,1093175,5.52,7186.603174603175
SCLX,4990167,6.88,119908.33333333333
SBFG,4724844,18.2263,20655.26984126984
SCOR,2627666,5.055,10258.984126984127
SCVL,17478956,19.41,575702.2063492064
SDHC,8606547,19.87,63971.87301587302
SELF,1238614,5.6947,31874.52380952381
SER,2792960,5.95,11644.190476190477
SEVN,14442924,11.78,46228.68253968254
SGA,3711186,12.43,6918.0
SGMA,4666447,2.99,413749.65079365077
SGC,10549659,10.355,58901.77777777778
SHFS,1105987,2.44,761303.5396825396
SHIP,13908482,6.465,156855.53968253967
SHLT,10360993,2.05,2808.548387096774
SHMD,11434322,2.69,32018.20634920635
SILC,5442056,14.675,18952.444444444445
SIF,3815569,3.6376,10502.650793650793
SINT,2225097,2.86,153080.79365079364
SKIL,4322881,18.59,29296.539682539682
SKLZ,10475556,6.29,70836.36507936507
SKYE,16089248,2.4,705058.8412698413
SLGL,794471,7.0,27029.11111111111
SLND,12553084,3.84,39890.87301587302
SLNG,1926763,5.2447,12463.57142857143
SNBR,17101729,9.455,757282.5714285715
SLNHP,7864049,3.685,4806.467741935484
SNCR,9487061,7.13,109467.31746031746
SNES,1685251,2.8491,97446.58730158731
SNFCA,13663641,9.92,37709.12698412698
SNOA,1594825,3.36,2632705.714285714
SNPX,1380698,2.546,11758.317460317461
SNT,13472308,3.7395,35357.920634920636
SNTI,11832491,3.6701,89375.68253968254
SOAR,1285150,2.08,537064.5873015873
SOBR,1227048,3.66,264781.0
SOHOB,15480914,16.03,833.9032258064516
SOHON,15480914,16.365,1055.741935483871
SOHOO,15480914,15.99,851.483870967742
SOHU,18484028,10.52,118328.93650793651
SOTK,12221211,3.725,7645.746031746032
SPCB,3191694,12.07,236800.17460317462
SPKLU,10000060,10.79,79.83870967741936
SPKL,10000060,10.8853,33113.47619047619
SPOK,18674913,16.4279,146351.17460317462
SPPL,1460588,2.9101,21335.126984126986
SQFT,1174189,5.1478,3038.6349206349205
SQFTP,1174189,14.025,2913.3650793650795
SRBK,8544710,13.1,46267.98412698413
SRFM,10963997,2.41,247259.73015873015
SRL,7370661,6.32,4318.428571428572
SRTS,13858807,4.93,101927.04761904762
SRZN,5668374,8.7,11549.57142857143
SSBI,4609350,9.85,17776.483870967742
SSKN,1172430,2.4001,7699.523809523809
SSTI,9601774,16.28,61855.01587301587
STBX,521817,2.11,749684.0
STG,1000946,5.76,3178.904761904762
STHO,10147900,7.34,112312.33333333333
STI,1183566,3.54,429139.3968253968
STRR,2298626,2.17,30381.174603174604
STRRP,2298626,9.2185,2272.8064516129034
STRS,5540034,19.11,7431.6984126984125
STSS,1017855,6.13,1506145.857142857
STRW,7365878,10.0863,78430.26984126984
SUNS,8801010,10.8799,119568.11111111111
SURG,14308700,2.84,1669284.888888889
SVCO,7954346,4.805,121254.33333333333
SVII,2213438,11.7501,11025.42857142857
SVIIU,2213438,11.8,33.87096774193548
SWKH,2358588,14.345,24533.238095238095
SWVL,5393107,4.705,18478.25396825397
SXTP,1322965,2.99,1613940.238095238
SYPR,10291571,2.03,21119.539682539682
SYTA,5097185,3.5606,8561976.07936508
TACT,6590370,3.66,13838.15873015873
TAIT,3172981,2.1949,13901.79365079365
TANH,1271256,2.12,183481.90476190476
TAOP,286446,7.01,507796.6349206349
TASK,11503397,16.745,485964.0317460318
TBMC,1941953,11.76,29634.555555555555
TCOA,5724146,10.51,0.0
TCBS,2177457,15.9,2660.3015873015875
TCRT,1555594,2.94,482274.2698412698
TCX,7712557,19.55,28219.968253968254
TELO,17618311,2.095,189360.87301587302
TENX,4091921,5.99,15975.396825396825
TETE,2692190,12.5,15.983870967741936
TGAA,1780990,11.37,602.7258064516129
TGAAU,1780990,11.11,0.0
THRD,15603387,5.295,583864.4285714285
TISI,2736700,19.1,26899.444444444445
TIVC,765790,4.006,1261928.5238095238
TITN,18496771,18.83,287737.7619047619
TKLF,13333987,3.7999,24279.428571428572
TKNO,10246207,5.97,445154.5238095238
TLF,4215927,3.24,18702.396825396827
TOPS,1006059,7.56,79496.36507936507
TORO,9142577,2.02,39426.01587301587
TOYO,8145624,3.412,12643.015873015873
TLGY,3717204,11.64,12878.90322580645
TPCS,8792440,3.7,45135.8253968254
TPST,3406099,8.17,58443.22222222222
TRDA,18649706,8.37,139798.80952380953
TRML,13897981,19.625,361385.55555555556
TRT,2365919,5.1176,6972.285714285715
TSAT,518219,16.125,89060.25396825396
TSQ,13283800,7.09,78612.09523809524
TTEC,19509244,5.0,640112.8253968254
TTSH,13281656,6.35,77388.84126984127
TTNP,307521,4.7778,42684.01587301587
TURB,5000129,2.22,8931.682539682539
TURN,8664822,3.955,39649.5873015873
TYRA,15533291,10.69,336637.4126984127
TWIN,10072569,7.35,52899.80952380953
TZOO,6282588,13.52,118684.22222222222
UBCP,4912394,13.74,5265.841269841269
UBXG,1954899,3.36,27310.920634920636
UBFO,13659185,8.55,28477.84126984127
UEIC,8823239,6.795,78791.76190476191
UCAR,3555951,3.1225,86683.71428571429
UFI,13799874,5.02,66613.28571428571
UG,2949185,8.1692,8675.873015873016
UHG,11838854,3.54,255333.42857142858
ULY,1034454,4.8458,166291.3492063492
ULBI,10595365,7.5,76033.01587301587
UPC,42879,4.1288,355237.38095238095
USAU,10926350,13.85,372754.7619047619
USGO,1636412,9.4,29869.84126984127
USCB,13671595,16.38,30262.761904761905
UUU,1713248,2.9,35062.28571428572
UTSI,3418573,2.5,2269.048387096774
VCIG,3539497,3.46,924298.3333333334
VATE,4074361,5.66,46097.88888888889
VEEE,1208877,2.52,1730831.4444444445
VERB,1174294,8.98,66040.50793650794
VEL,3835989,16.97,147305.6507936508
VGAS,3534256,3.24,9792.91935483871
VERO,1310123,3.1103,2108687.238095238
VHC,3650096,11.4,8582.539682539682
VHI,2384119,14.8829,17420.634920634922
VINP,8998843,9.505,73343.55555555556
VIRC,10681822,8.385,78395.95238095238
VISL,1809012,2.41,3715.9523809523807
VMAR,1076908,7.4893,90445.58730158731
VMCAU,1482012,11.37,25.516129032258064
VRA,17313063,2.09,220008.3650793651
VS,1756565,2.25,23853.47619047619
VSTA,7733876,4.18,54948.269841269845
VTSI,10879708,6.62,96048.06349206349
VTVT,3563342,16.3133,20137.06349206349
VVOS,5563888,2.2682,95665.26984126984
VVPR,7578395,5.975,6248700.857142857
WBTN,17510392,8.82,339784.84126984124
WBUY,448633,6.8401,1024076.9523809524
WEST,13993644,6.81,309334.1904761905
WFCF,1901687,9.9,2710.063492063492
WHLM,372235,3.3,2898.4285714285716
WHG,6282385,15.5,18260.04761904762
WHLR,434640,4.655,231104.2380952381
WHLRP,434640,3.91,3526.5396825396824
WILC,3363199,15.99,8020.222222222223
WIMI,6731867,2.6305,787981.1746031746
WINV,346784,12.74,1139.016129032258
WKEY,2842099,6.5425,140372.20634920636
WKSP,4852241,3.255,224963.20634920636
WPRT,14263193,2.85,25009.984126984127
WNEB,15064407,9.285,63748.50793650794
WSBF,16546867,13.32,51864.730158730155
WTBA,15092350,18.95,29343.79365079365
WTMAU,1484104,11.29,24.193548387096776
WVVI,3821148,5.95,5585.476190476191
WVVIP,3821148,3.19,2494.3809523809523
WYY,7479517,3.505,106818.55555555556
XBIO,1182805,2.9565,8247.52380952381
XBIT,19852696,2.845,51522.74603174603
XCUR,2395825,9.64,19929.84126984127
XFOR,4369300,4.2995,128786.06349206349
XGN,11082827,7.44,207845.39682539683
XOS,6095629,3.12,60643.142857142855
YOSH,745253,13.0095,34772.80952380953
YOTA,470784,12.1,1303.225806451613
ZDGE,11212731,2.63,38697.52380952381
ZEO,1494114,2.7,2100801.0317460317
ZKIN,4207531,2.37,2340167.8095238097
ZUMZ,16051475,11.88,339105.25396825396
ZONE,1919456,4.15,271060.7301587302
ZYXI,15645594,2.22,330996.1904761905
